wtime	utime	stime	rss	pss	vmem	rchar	wchar	nthreads	nprocs
43.0	44.417085525935114	4.411498795828278	327537	311960	606421	2202502	1298287	3	1
44.0	45.41037427092218	4.554212653547543	332507	316387	607745	2250112	1322768	3	1
45.0	46.480254046095574	4.619509542752864	321428	314642	706305	2294670	1353773	5	1
46.0	47.42709908179804	4.762932780711919	338382	320254	695223	2340049	1382536	4	1
47.0	48.5646129763082	4.863313451712993	327680	314174	623015	2387915	1415985	5	1
48.0	49.57787056855064	4.997141379319086	337623	324590	668498	2425758	1445854	5	1
49.0	50.56497648052442	5.075500136463277	333702	327023	727483	2474592	1479601	4	1
50.0	51.70846104982991	5.188892202871751	351156	332564	693707	2522052	1511124	3	1
51.0	52.69362817241637	5.294551042444092	332484	319157	718225	2576002	1540742	4	1
52.0	53.659392229156694	5.436967651385875	342715	325464	735990	2628117	1573105	4	1
53.0	54.50087878729009	5.504897494070117	352174	336615	682394	2674578	1605487	4	1
54.0	55.44587553883288	5.575354483044365	338431	321743	703396	2722286	1636902	3	1
55.0	56.40469485905811	5.720250922989719	356181	339960	735230	2771113	1660026	3	1
56.0	57.27694378674791	5.78004738506833	364925	345299	769439	2828542	1687078	4	1
57.0	58.312073067433175	5.893515631972729	349473	339618	680205	2874431	1721230	4	1
58.0	59.169609895653316	5.949572043294254	352477	342849	641824	2920832	1747462	4	1
59.0	60.059085811094874	6.007271124106315	358723	342129	670243	2965189	1780110	3	1
60.0	61.08352260538493	6.116985998396487	361307	347392	739459	3007779	1812229	5	1
61.0	61.99111603127482	6.222122794611892	365427	350037	771065	3059314	1840052	5	1
62.0	63.04698335532616	6.329425414487252	368582	351585	774914	3110328	1864066	5	1
63.0	64.12318860849444	6.426790624142247	368635	353811	749609	3166742	1892359	5	1
64.0	65.0437047727371	6.551026558200407	377117	358644	691597	3221949	1928593	4	1
65.0	65.87865984533579	6.700245411836897	372911	361084	673819	3283935	1956004	3	1
66.0	66.87444057886735	6.777823536475933	394721	374370	833989	3333566	1983621	4	1
67.0	67.71159994690407	6.860167503207427	374414	365529	756222	3382263	2010628	4	1
68.0	68.71769421951362	6.942472457441749	388582	371720	821106	3425762	2044272	5	1
69.0	69.8081813563652	7.068799352072334	390168	369615	727708	3479245	2073544	3	1
70.0	70.85631327295351	7.153600902184707	383253	372052	752315	3529837	2101666	3	1
71.0	71.83562032943833	7.2712746089429725	381181	368978	826274	3583094	2135906	3	1
72.0	73.01396374859735	7.365863364644166	384132	372143	717805	3627398	2167645	3	1
73.0	73.85466264183022	7.4766438313464665	392491	376465	716143	3679156	2194887	4	1
74.0	75.00666324459499	7.609545368626956	400010	385918	824575	3730182	2221216	3	1
75.0	76.12671479365147	7.7109512373823765	402435	392880	820088	3780877	2254691	3	1
76.0	77.09461022579731	7.808468557467047	402273	381066	877283	3827461	2284741	4	1
77.0	77.9557570945576	7.885166015827577	400740	389754	866636	3883408	2310094	5	1
78.0	78.81810380886866	7.986756474009556	404221	388165	848772	3943659	2334745	4	1
79.0	79.98682611316578	8.062997701300516	413528	396178	747519	3988107	2361396	3	1
80.0	80.88030797887708	8.197354721872312	414147	405378	825045	4041710	2387678	3	1
81.0	82.02995426207221	8.28624112455847	409803	400265	884536	4077320	2411540	5	1
82.0	83.03127235004432	8.349151887741966	428589	404762	845805	4130663	2438241	4	1
83.0	84.01596620473526	8.423148640534603	434096	414776	948439	4171313	2465484	4	1
84.0	85.0637707117688	8.526606787281327	421088	412289	867862	4218688	2494096	5	1
85.0	85.9497863449261	8.668235538864302	429857	408699	792563	4262123	2529175	4	1
86.0	86.92113461454997	8.74829168872178	432568	415794	866741	4311045	2558374	4	1
87.0	88.09652839007194	8.824730309131711	422872	413362	878834	4365239	2587871	5	1
88.0	88.99183116166344	8.915386292612725	442038	422102	807227	4405952	2619399	3	1
89.0	90.16046458521534	9.06216174044194	442068	425076	856667	4454155	2648687	4	1
90.0	91.35814846385901	9.196683707888075	429955	418164	897244	4501588	2679888	4	1
91.0	92.17891133908921	9.261650502995545	451982	428375	841966	4559493	2710730	3	1
92.0	93.19146298812576	9.373025831705572	443005	429412	859136	4611652	2741097	3	1
93.0	94.06019070800323	9.502212252039975	448881	435223	931862	4655766	2779397	5	1
94.0	95.1088764103859	9.629013286176999	452731	439156	955361	4703409	2812130	3	1
95.0	96.30469346767185	9.727897835352461	462188	439887	927799	4761190	2838885	4	1
96.0	97.46344582583913	9.851080973919865	459638	438484	1003272	4814762	2869996	4	1
97.0	98.63338521048168	9.959439634979164	472264	447166	1024875	4860170	2897620	3	1
98.0	99.51872513580652	10.029584133264384	453489	440634	902160	4908835	2928959	3	1
99.0	100.53565297536224	10.085189497328034	463583	440897	864170	4957659	2954834	4	1
100.0	101.42958538192022	10.172139465333068	452652	434023	954722	5004970	2981510	5	1
101.0	102.58935526495128	10.228333365527822	466775	452149	885591	5046419	3012542	4	1
102.0	103.46581686218097	10.317834705919912	460549	450892	984253	5093030	3045535	4	1
103.0	104.32740042714465	10.450722606076988	483730	459488	984322	5149976	3077043	4	1
104.0	105.13226547983027	10.585152020917347	463487	450143	907340	5198071	3109605	5	1
105.0	106.00504462386492	10.638559413051349	480054	459264	970936	5247554	3140727	5	1
106.0	106.88094976260673	10.695512959802297	486958	467351	980308	5298257	3171244	3	1
107.0	107.71194583761698	10.812499668561422	471680	462350	1023495	5359348	3199733	4	1
108.0	108.85904227898224	10.912499538055641	500262	472046	943367	5409392	3232172	4	1
109.0	109.9710414024607	10.97743537732868	494409	469714	1073492	5464862	3265247	3	1
110.0	110.8728340013996	11.10798833910189	493572	474835	894618	5511871	3295057	5	1
111.0	111.98613708272407	11.179637955372533	503160	480475	1060502	5560574	3324707	3	1
112.0	112.9550029014428	11.237452880842104	503700	484763	1091956	5610637	3359481	5	1
113.0	114.06521102518207	11.362403594652106	507006	482962	992525	5656766	3389420	3	1
114.0	114.99441408591613	11.473216192115302	493132	480929	902051	5705747	3419647	4	1
115.0	116.02027577651128	11.562660465988435	503576	485209	1068523	5760188	3451099	5	1
116.0	116.97291999329295	11.681933086366788	509667	493184	1089234	5806186	3480806	4	1
117.0	117.84799032010234	11.823071155235908	506102	487393	979057	5856186	3508345	3	1
118.0	118.88224347370314	11.876489399512574	512895	494109	1029604	5909730	3539479	3	1
119.0	119.98257579369428	11.989257343280107	508318	495570	1079560	5955608	3569363	4	1
120.0	121.08381864353194	12.061074072981663	528982	499483	992803	6011085	3604889	5	1
121.0	122.02633441085963	12.1584878489758	505159	494953	1036380	6061449	3637255	4	1
122.0	123.03381911822197	12.250885961864137	500752	490740	987610	6110624	3665468	3	1
123.0	124.13933055765601	12.33988392864759	520163	502603	972584	6150583	3697655	5	1
124.0	124.96112959546505	12.408919538672336	527444	504820	1124814	6198715	3728579	4	1
125.0	125.7898849287854	12.539184532316835	504388	491039	973405	6250573	3762507	3	1
126.0	126.74037402477423	12.627136590809604	522584	501844	1135979	6309299	3790934	4	1
127.0	127.62976266518581	12.765856216903252	530136	505415	1074890	6362139	3821500	3	1
128.0	128.5796210730059	12.851323044197901	514931	502979	1032851	6417770	3851203	5	1
129.0	129.41712230494977	12.985294378665817	527481	497916	1038780	6461724	3881378	5	1
130.0	130.4539255172199	13.089741011818285	511858	495282	1003380	6511090	3908722	3	1
131.0	131.52262171961763	13.178303535304265	523271	500404	1113096	6567194	3940450	4	1
132.0	132.6393579227752	13.298706756764064	513483	501238	1063424	6612755	3971704	3	1
133.0	133.69956709800533	13.427372219224406	524691	500479	1106825	6667581	4005560	4	1
134.0	134.65811965600776	13.525641298251854	525860	499099	1035120	6721248	4035530	3	1
135.0	135.8320909459349	13.618183341090207	506561	494586	964784	6772622	4064294	5	1
136.0	136.9226237523461	13.72592523812744	514683	502113	944313	6820978	4096662	3	1
137.0	137.93369625067683	13.834441575978012	518048	502354	1093426	6866047	4124279	5	1
138.0	138.81643641401106	13.926989497563481	511263	501004	1005200	6924924	4157534	3	1
139.0	139.87602640870554	14.052755785407745	530308	500554	1062574	6978083	4190783	3	1
140.0	140.91271461873993	14.142727930183126	530732	508396	1054957	7029786	4224555	5	1
141.0	141.98604661831496	14.238027764471376	518891	496878	1023490	7077722	4255685	5	1
142.0	143.09849652443827	14.348559586899327	535960	506407	1111345	7127911	4284225	3	1
143.0	144.26451637202956	14.497244477092394	522774	496329	1068287	7178735	4314553	3	1
144.0	145.44413900857282	14.573313088193805	532121	505544	1164718	7230734	4345693	5	1
145.0	146.49621320942305	14.646508368184957	523163	506166	970762	7284406	4374012	5	1
146.0	147.68259562372438	14.714197094836255	515183	498534	1045516	7330493	4408012	4	1
147.0	148.8471645833246	14.833141516267068	524402	508304	957189	7373160	4439752	3	1
148.0	149.64821032613068	14.928050980008909	519358	502345	1102685	7423582	4467075	3	1
149.0	150.7032573126291	15.016911614016337	512851	495613	1049562	7464846	4502724	3	1
150.0	151.57464507656272	15.087320651431224	510881	498129	1007126	7513227	4533016	5	1
151.0	152.49272213834612	15.226434489171558	522976	505663	1109178	7560682	4559734	3	1
152.0	153.41172221824036	15.320751792693796	523725	504615	1038023	7613140	4587243	4	1
153.0	154.4049740740952	15.43152112384243	510725	494709	965840	7673053	4621706	5	1
154.0	155.20932054529254	15.492774081671682	1633813	1591456	1019545	7713330	4657181	3	1
155.0	156.1036391085024	15.553571303340172	1059964	1024183	948029	7774701	4690210	5	1
156.0	156.91528749128634	15.610306757506573	1071167	1030724	1116235	7823536	4724168	5	1
157.0	157.97551091757404	15.697041365590401	536779	511788	1123147	9068639	5473836	3	1
158.0	159.13122594905118	15.794330025809593	1690974	1612834	1105612	9111565	5505506	3	1
159.0	160.33034141298396	15.868787840754516	513736	499690	1104428	9166549	5536494	3	1
160.0	161.3097641696968	15.953755591342247	516815	505954	1093906	9216756	5568113	3	1
161.0	162.21382061381445	16.004381594744626	514191	498173	1014366	9266449	5600321	3	1
162.0	163.35506205250672	16.089490441270765	518312	505037	957558	9306762	5628096	5	1
163.0	164.2003254595229	16.15140757475385	509278	491661	992759	9357131	5660292	3	1
164.0	165.39002105194535	16.21424602259124	527184	497731	1145905	9411360	5694668	3	1
165.0	166.47595603383263	16.264696632347242	519009	505245	1131252	9460179	5724049	5	1
166.0	167.4775298999796	16.384334688953754	524485	507850	1105169	9516050	5753109	3	1
167.0	168.3161901149093	16.527463066358692	520446	496133	979361	9571714	5784539	3	1
168.0	169.1234684891932	16.639617622443907	515554	495550	968098	9618509	5812590	3	1
169.0	170.14128136818596	16.699237827636697	513777	502837	1105602	9676484	5838639	5	1
170.0	171.10682157116196	16.84820277257595	510036	496884	947018	9726711	5872083	5	1
171.0	172.24388736890677	16.9957612896636	527285	498657	1072315	9776960	5900730	5	1
172.0	173.30080956078413	17.09258474322935	516551	504382	1007946	9827455	5930785	5	1
173.0	174.2735680993824	17.15337166506998	519857	497279	998545	9877801	5958955	3	1
174.0	175.16397092342288	17.2754455960347	515511	490172	1067599	9914650	5992785	4	1
175.0	176.1561398069477	17.421592416483044	508604	493494	1110703	9963723	6025345	4	1
176.0	177.02133751846216	17.549462376896912	524553	500049	1107361	10006903	6054622	3	1
177.0	178.08814258345143	17.66188266235401	503831	490682	1004873	10065035	6081083	5	1
178.0	179.13043421243773	17.772965852591117	514162	498514	1016131	10122965	6110042	4	1
179.0	180.2544627596882	17.92075766401168	509049	493039	1101108	10177225	6141752	5	1
180.0	181.2342744685851	17.978069597693658	538619	508199	1094066	10226033	6172318	3	1
181.0	182.14573388179613	18.04302519965272	525426	510825	1050146	10270993	6202645	5	1
182.0	183.28029202549044	18.17610634412669	507159	494709	1051410	10317705	6233281	3	1
183.0	184.3566908580744	18.240617652158665	529870	501283	1004031	10377418	6265557	3	1
184.0	185.43937452369812	18.328947300851567	508309	495197	927915	10423957	6295431	4	1
185.0	186.45060835226064	18.407097226457044	525953	498453	1126616	10462179	6326781	3	1
186.0	187.60099979821538	18.481441698101083	532441	509017	1087727	10517330	6353821	3	1
187.0	188.492113201204	18.534013893211927	519103	497666	968621	10574832	6391482	5	1
188.0	189.45279001134517	18.64063901956541	523525	498569	1004759	10633128	6420631	4	1
189.0	190.5712830400111	18.730762971648755	519576	495287	1140975	10688320	6451241	4	1
190.0	191.4244674007986	18.835921992912457	518081	505730	1064019	10744328	6482941	3	1
191.0	192.5477111980051	18.91637281356221	512694	483683	1053302	10794592	6511708	5	1
192.0	193.48874928629743	19.060518899067635	526496	497786	962890	10834211	6541732	5	1
193.0	194.33895076590957	19.169653618291786	527689	499770	1154372	10884350	6571719	5	1
194.0	195.17061056012366	19.315774322945014	518992	496694	1119524	11899818	7176393	4	1
195.0	196.30782204762517	19.400774918370878	2060565	1979575	1059933	11949142	7207709	4	1
196.0	197.41926826587542	19.45100387210551	526984	506010	1013790	11998238	7232761	21	1
197.0	198.33448480403123	19.579130428601754	503093	492939	1046042	12679592	7649724	3	1
198.0	199.18102967972624	19.711868314057817	530875	510467	1132542	12724583	7682103	26	1
199.0	200.07992345014134	19.76773865377785	515039	492883	1089023	14338518	8646866	4	1
200.0	200.9651185044188	19.880275576624083	529915	506443	1160949	14397890	8671656	5	1
201.0	202.05834076509566	19.996377363328094	517416	500749	1063158	14447877	8699279	5	1
202.0	202.94456599883844	20.060950750032852	516809	497481	996661	14499284	8733447	3	1
203.0	203.8310054075455	20.16620320531811	520586	497953	1040741	14544380	8775901	3	1
204.0	204.64391266054503	20.240523093386102	518392	499832	1102375	14597593	8809485	3	1
205.0	205.68265653586883	20.292168263706554	530345	501042	1010911	14656391	8842595	3	1
206.0	206.75824835517128	20.428859372744167	519286	495399	982782	14698745	8874170	4	1
207.0	207.8196445427505	20.528028889866814	508832	498830	1063425	14751064	8901628	5	1
208.0	208.84708420521292	20.656198799957885	506531	496146	1001803	14803759	8934613	3	1
209.0	210.03351418474927	20.778488103180795	517441	493924	1100405	14856397	8961310	5	1
210.0	211.0226095896201	20.927858629282248	514017	495913	954773	14914612	8987678	4	1
211.0	212.16666419286858	21.021653969672368	520731	494250	1007239	14974792	9013857	4	1
212.0	213.2250681570195	21.114409030348085	511302	497899	975177	15023624	9046785	5	1
213.0	214.05873293329464	21.1925845870532	512483	502162	1065528	15076990	9076612	5	1
214.0	215.18276831768506	21.305099308393523	518386	500603	1090546	15127411	9106915	5	1
215.0	216.21652373436098	21.403710558449053	535081	509871	1060745	15174251	9136869	4	1
216.0	217.27793399809116	21.52658667066322	517731	488947	1030913	15225605	9163492	3	1
217.0	218.1500249723407	21.612237840507365	530149	502346	982268	15278962	9191479	5	1
218.0	219.12502100999765	21.675322314668296	519714	500032	1081386	15330047	9219618	5	1
219.0	220.27725399974736	21.811565859880243	530548	504078	1165577	15375641	9245402	5	1
220.0	221.1634264769819	21.944370554076713	515070	503582	1087401	15423323	9273890	4	1
221.0	221.96347643959677	22.029470572788288	520585	499175	983512	15471044	9300646	3	1
222.0	222.86647992444375	22.148505744539488	529398	500863	1084869	15516831	9332379	3	1
223.0	223.86149690411432	22.24774603516705	514073	496279	985984	15568399	9364362	4	1
224.0	224.9900081214351	22.37384324488016	532449	503068	964836	15620490	9390481	4	1
225.0	226.04732448166445	22.46285648174661	504748	490605	944853	15675387	9419591	3	1
226.0	227.2149498692473	22.566420405285733	516090	503884	950142	15721099	9455159	5	1
227.0	228.19717564189847	22.622202015692206	520374	499884	977457	15768212	9482217	4	1
228.0	229.1535017310813	22.689693013851013	525572	497564	1113289	15825985	9513497	3	1
229.0	230.0460690177196	22.817869574628524	515025	498837	987371	15875162	9543813	4	1
230.0	230.93329401153522	22.906026122845812	525165	499204	1104327	15925313	9577092	5	1
231.0	232.02773797033845	22.95953666526877	520044	506486	1133459	15974437	9607978	4	1
232.0	232.85988161955657	23.026300293839967	541884	516167	1099867	16030102	9636684	5	1
233.0	233.75696705348977	23.11746009704853	527497	506099	1051916	16085961	9666885	5	1
234.0	234.91132515730584	23.239251407750206	510597	497173	1072280	16141527	9697129	4	1
235.0	235.9420934845457	23.32559991193093	527664	503148	970287	16191660	9726854	4	1
236.0	236.76072852817302	23.450118487368815	527805	503366	1040454	16237298	9752896	3	1
237.0	237.84243054750493	23.585924546098322	515495	495374	1030747	16296924	9786626	5	1
238.0	238.84510349460618	23.670038207518893	508022	493696	1083317	16351206	9819825	5	1
239.0	239.98691218560538	23.800075764604337	512321	499683	1089035	16398922	9846692	4	1
240.0	241.05988573462187	23.862763831197356	533419	504038	1141146	16456042	9875790	3	1
241.0	241.86166436981298	23.95429218370452	514684	491940	1070106	16503364	9905115	4	1
242.0	242.74396000468295	24.01404842333268	522391	496395	1051167	16560417	9931645	5	1
243.0	243.64714548490892	24.06930122221216	526939	502863	1122988	16617808	9956045	3	1
244.0	244.72803840057358	24.125753959960704	526809	500208	1132277	16663201	9984033	4	1
245.0	245.7317640716416	24.18622916266887	520518	507081	1036974	16716110	10012964	4	1
246.0	246.83074307047806	24.31980175501051	512600	492943	1124781	16770021	10038640	4	1
247.0	247.83588994999144	24.42416946737388	535652	511760	1151613	16833095	10069171	4	1
248.0	248.76684379427007	24.56890828615158	504192	492310	1010495	16879384	10102660	5	1
249.0	249.60830805295356	24.67270831628283	502589	489854	918590	16936547	10135186	3	1
250.0	250.48935689242106	24.785579449513868	522371	499705	987176	16986633	10164806	4	1
251.0	251.44966892455932	24.85402784562792	521391	494327	1100427	17030426	10189285	5	1
252.0	252.47025064783202	24.958085947691288	523005	499806	964663	17079827	10221432	5	1
253.0	253.64570560910826	25.04661620257162	510347	499631	1014530	17129839	10251871	4	1
254.0	254.54159367993486	25.189759736785657	528372	499021	1078904	17174544	10283144	5	1
255.0	255.60802765571353	25.333151858363838	508470	495787	1093891	17226105	10318953	3	1
256.0	256.4690460203108	25.40300171961406	516877	502163	1105522	17280894	10346478	4	1
257.0	257.55454726907976	25.515014806007898	527819	498413	1111434	17332085	10367854	5	1
258.0	258.35908361993734	25.628832386304996	531219	505518	1042825	17379376	10394693	4	1
259.0	259.4214515999092	25.735085894250798	527777	499098	980030	17428634	10426151	4	1
260.0	260.286738662595	25.797518865050314	521057	495176	1077472	17478611	10456232	4	1
261.0	261.1588684411473	25.9129203969344	514207	491561	962861	17529698	10482585	4	1
262.0	262.1824314944732	26.04282892542682	514803	499139	1042232	17585247	10508326	5	1
263.0	263.13259611283667	26.127351528812135	509981	493653	1118018	17636606	10537262	4	1
264.0	264.121118173057	26.22880669900655	521804	493250	1054110	17679593	10563524	3	1
265.0	265.0446737260795	26.29043949364148	529993	502637	1090844	17726781	10595086	3	1
266.0	266.22606054589085	26.433508364790182	507995	491111	1052074	17777611	10623852	5	1
267.0	267.1423229859236	26.494462150107413	524772	507060	1118897	17833232	10651970	4	1
268.0	268.1591419558178	26.56529986077424	516777	500798	1020115	17889721	10679696	3	1
269.0	269.30088417803415	26.64514770835424	516296	499780	1032078	17948595	10710485	3	1
270.0	270.36655650293847	26.77772673227244	521757	494826	975890	17999248	10740613	3	1
271.0	271.29566728173114	26.897792324322676	514110	503821	1051803	18053064	10771219	3	1
272.0	272.31664195507784	26.948493768122987	518705	499985	995035	18095792	10801759	5	1
273.0	273.14983840557096	27.01684992283893	525228	496569	1052058	18147941	10831542	4	1
274.0	274.16811296665406	27.14186504075812	521893	500999	1099432	18192565	10858443	4	1
275.0	275.14066860199546	27.2322484898582	510275	491586	922081	18242252	10886252	3	1
276.0	276.24384208482485	27.284869843104925	507805	491823	1028592	18307402	10915068	5	1
277.0	277.3830032220785	27.43126153093693	505748	494399	945435	18358919	10951263	5	1
278.0	278.2628498307375	27.496384822230986	516288	501747	987015	18404600	10977217	5	1
279.0	279.0954641929218	27.59743148623567	511792	499983	928332	18456639	11005960	4	1
280.0	280.05168698541974	27.672263096000155	517910	505244	967345	18504054	11036255	4	1
281.0	281.06534714869997	27.79601002802269	508548	495400	1116086	18549250	11065345	3	1
282.0	282.01606792802596	27.923682637927417	519006	502873	1141506	18609766	11098567	5	1
283.0	283.06749239642517	28.013404678279905	509639	499430	1064095	18665100	11127641	5	1
284.0	284.0697529083128	28.129249640425808	524014	495284	1071474	18716828	11156938	3	1
285.0	285.24440332217887	28.270156998880456	514450	501926	1085904	18764869	11189381	4	1
286.0	286.2081597715067	28.401637910729715	517321	499669	1116700	18813315	11224814	3	1
287.0	287.0411574406861	28.493127682494205	524271	496854	1052591	18871027	11259036	4	1
288.0	287.9619314491427	28.58727528788387	512346	500209	929454	18922560	11288626	3	1
289.0	289.004288994088	28.72596311528657	518998	499352	1081468	18957146	11318478	5	1
290.0	289.9066990335308	28.779400395329205	526085	499231	1154148	19019251	11348618	5	1
291.0	290.814294414253	28.83168155256059	518989	497937	987750	19070166	11379059	5	1
292.0	291.75012340786196	28.90226108671709	507496	493475	1007577	19121883	11406517	3	1
293.0	292.8485801198256	29.035023251185624	525102	500373	1021066	19177316	11439326	3	1
294.0	294.0246334135432	29.100344569947342	519423	495986	1016089	19229643	11469946	5	1
295.0	294.9647840670823	29.17887249844218	511966	494898	1069271	19283378	11499812	3	1
296.0	295.8429792829865	29.291779367456197	509696	498796	994601	19331259	11525998	4	1
297.0	296.81123406385336	29.360203648462335	513901	503670	1118473	19375110	11556185	5	1
298.0	297.7519699410452	29.44051528258669	527485	500928	1116086	19426511	11580506	4	1
299.0	298.9479799066945	29.53720655529901	513688	497344	930319	19483669	11608761	3	1
300.0	299.9335272101017	29.610017483675804	509825	497143	1084613	19530430	11637071	5	1
301.0	301.00524055122645	29.759258852073597	523679	503179	1104515	19576790	11667932	5	1
302.0	302.1707557778844	29.825603453805723	515751	488016	1034906	19632895	11703572	3	1
303.0	303.2223804088299	29.96059716429775	514237	503986	1027820	19680609	11735288	4	1
304.0	304.12213179879785	30.05760714744762	501544	490629	1070401	19728556	11769633	4	1
305.0	305.1650958369312	30.120519515419637	511004	492922	1006634	19776691	11801568	4	1
306.0	306.1258463713572	30.182368131135895	520827	497428	970709	19826366	11834944	5	1
307.0	307.09478631913277	30.282397736740982	530796	510850	1021867	19868498	11870515	5	1
308.0	308.2865161516809	30.367749753887903	536806	508387	1023197	19915801	11898319	3	1
309.0	309.19795255711887	30.4412099837992	514491	503532	1066243	19966953	11925928	5	1
310.0	310.1855266157102	30.587103897515775	518645	501782	970670	20018069	11957935	5	1
311.0	311.0494734339899	30.683441871579095	507398	490688	1044179	20073859	11987923	3	1
312.0	311.92089111346405	30.82632296971633	517612	500783	1028178	20133056	12018585	3	1
313.0	312.9622848830984	30.892722942322813	516899	497253	1104026	20190618	12047839	4	1
314.0	314.06269116635946	30.961069549045813	521517	495916	1039905	20245191	12076050	5	1
315.0	315.1172751158062	31.07067231814006	517156	500774	1123224	20294448	12110912	5	1
316.0	316.0489887149674	31.14765988240174	522416	497644	1128518	20341332	12137612	4	1
317.0	316.8728359839934	31.216153667962868	517388	504346	969645	20391422	12169672	3	1
318.0	317.8609415288529	31.2756222065042	511124	490320	1060309	20444350	12201244	3	1
319.0	318.8626493900905	31.333249273534914	517889	500375	976662	20498459	12226507	5	1
320.0	319.97091003327444	31.458566112076255	516206	495604	1099168	20551575	12254015	4	1
321.0	321.0270258581912	31.536782426713238	510057	497951	1047804	20600969	12282027	4	1
322.0	322.1755293092316	31.684624342044	530680	501523	1017658	20654903	12313721	5	1
323.0	323.2887224607096	31.75293645479191	522223	494413	992041	20711208	12342620	3	1
324.0	324.235073574234	31.838381119794295	527392	500821	1039929	20765608	12372363	3	1
325.0	325.2879621436439	31.925871981742528	526734	498938	1116830	20815448	12397990	5	1
326.0	326.38687675542593	32.02588726101621	509545	496697	1079453	20861279	12434968	3	1
327.0	327.569628903095	32.16295084791415	517627	497647	938639	20906991	12465181	5	1
328.0	328.53856976814393	32.29642786891057	515560	499227	990347	20953585	12496678	5	1
329.0	329.5978825650684	32.34742350199695	523695	496160	1031229	21004871	12525056	3	1
330.0	330.55494809918105	32.438349008692775	513825	500035	1045240	21057470	12553098	4	1
331.0	331.650079370729	32.571142681796836	512967	498609	954023	21100397	12588836	5	1
332.0	332.8148766392532	32.621162462579505	520532	496943	1006769	21147877	12613086	4	1
333.0	333.98256704554103	32.72452641980133	519914	507949	1120019	21199093	12643922	3	1
334.0	334.845402052496	32.80047398193465	526825	502076	1048709	21244595	12670288	3	1
