wtime,utime,stime,rss,pss,vmem,rchar,wchar,nthreads,nprocs,run_id,anomaly
60.0,61.69874660361158,5.587666031718753,353107,341585,767342,3022152,1788128,5,1,0,0
61.0,62.600821208529,5.713503259378608,363741,350825,711695,3072207,1819841,3,1,0,0
62.0,63.685286327806665,5.862727980109932,376582,355813,727445,3126602,1846927,5,1,0,0
63.0,64.74786581503314,5.988164086983097,378480,360431,749550,3169115,1879146,4,1,0,0
64.0,65.72838538237046,6.123382006483842,378692,363556,767675,3212564,1911604,3,1,0,0
65.0,66.78136387624677,6.256618642330342,377967,366466,750161,3252375,1949414,4,1,0,0
66.0,67.64516110495111,6.3796452185583465,383555,363256,791466,3302539,1978286,5,1,0,0
67.0,68.71449242791189,6.509825400223936,375926,365188,760032,3346947,2006912,3,1,0,0
68.0,69.62273670598996,6.653293723010677,386646,374289,745565,3395024,2039219,3,1,0,0
69.0,70.53187109666055,6.750814460863306,392484,371543,760749,3448331,2071676,5,1,0,0
70.0,71.39674307063807,6.86464316325456,383802,368621,748965,3495123,2100071,5,1,0,0
71.0,72.32969392465253,6.966137135411837,390310,371833,717335,3546280,2128861,3,1,0,0
72.0,73.26219434877706,7.101240834131044,391781,375402,731230,3594783,2160485,5,1,0,0
73.0,74.24386595345797,7.194376794418194,402748,384985,841439,3648144,2188002,5,1,0,0
74.0,75.12003375532451,7.326349471532668,398045,385712,778432,3700519,2216770,5,1,0,0
75.0,75.99723676978802,7.4562849290383815,402546,390952,759127,3747060,2247039,3,1,0,0
76.0,77.0139321984533,7.60247353917524,400624,387863,811291,3796216,2280027,4,1,0,0
77.0,77.86548316032149,7.677365609100982,403603,393292,848462,3851435,2308213,5,1,0,0
78.0,78.94104196351702,7.798327560089573,420014,398127,799273,3903402,2332686,5,1,0,0
79.0,80.11862081386207,7.924019509854322,408358,395953,870095,3946417,2356936,4,1,0,0
80.0,81.08933906252781,8.067647359134789,419364,402283,910441,3999695,2383158,3,1,0,0
81.0,82.24978118778809,8.208337600940341,419820,399190,855995,4044272,2409219,3,1,0,0
82.0,83.08910782423844,8.315690187111185,423889,403184,876424,4101335,2438755,3,1,0,0
83.0,83.9062908751887,8.423605505697584,420815,405591,766317,4156455,2465188,3,1,0,0
84.0,84.99483842619424,8.490334628538006,419797,404020,914407,4207905,2493080,3,1,0,0
85.0,86.09924705538684,8.637830898780383,439743,414934,860574,4258691,2520758,3,1,0,0
86.0,87.23647035177314,8.713332645050725,432041,412652,937339,4307646,2549436,5,1,0,0
87.0,88.05919742313313,8.835806266895855,439520,417562,892925,4361038,2583404,4,1,0,0
88.0,89.16996024511586,8.965385767376386,446101,422403,803806,4409185,2615389,4,1,0,0
89.0,90.12057573823449,9.059507317837523,446607,424732,810779,4460362,2645438,5,1,0,0
90.0,91.04191079130737,9.13062668984043,440066,428326,911890,4514722,2674055,4,1,0,0
91.0,91.91112035984469,9.199522728262398,445149,427007,901458,4561913,2702755,4,1,0,0
92.0,93.1095266618857,9.335172328352558,438185,427883,793383,4608832,2733738,3,1,0,0
93.0,93.93499209761325,9.43624797702741,452028,432101,948077,4652860,2765491,4,1,0,0
94.0,95.06579530345644,9.495261675231237,451395,426563,966373,4697538,2792768,3,1,0,0
95.0,96.12159307765265,9.616963622507527,447694,430264,894746,4738396,2822877,4,1,0,0
96.0,97.2156252553574,9.69198072778803,449560,433386,892962,4792045,2846782,5,1,0,0
97.0,98.3003121033261,9.829620202863119,446891,437513,805382,4851090,2877418,4,1,0,0
98.0,99.44368589735538,9.910577381466116,473099,446998,1000444,4908216,2909704,3,1,0,0
99.0,100.31720272529782,9.98060446447513,453657,442972,876595,6263171,3726715,5,1,0,1
100.0,101.11753257203169,10.039090308830623,457807,448109,984975,6316795,3762164,27,1,0,1
101.0,102.156943967649,10.140243422494388,472693,458996,921386,6373906,3789521,16,1,0,1
102.0,103.09848742337833,10.235317181276217,1772996,1733773,939006,6421622,3820173,3,1,0,1
103.0,103.94800235582518,10.360448395736531,1574086,1516159,913629,6472129,3850066,5,1,0,1
104.0,104.82245785746687,10.456908654455836,1784996,1715278,883345,6512089,3879765,3,1,0,1
105.0,105.75515758245056,10.541290251348272,476471,461472,1005338,6563423,3909422,23,1,0,1
106.0,106.58325093080525,10.617455742911567,470393,460249,940144,6608105,3939743,3,1,0,0
107.0,107.40601621165663,10.695270417458564,477200,465804,961365,6659103,3972287,4,1,0,0
108.0,108.5724267135896,10.838055207641347,490978,474201,1073361,6701297,4006420,5,1,0,0
109.0,109.49726781333109,10.904563067850129,474263,463863,1036471,6754012,4036413,3,1,0,0
110.0,110.69016009232053,11.053380710305843,500041,477172,1071218,6809134,4068859,3,1,0,0
111.0,111.87590689565269,11.136072655825066,492226,478688,922945,6855218,4096754,3,1,0,0
112.0,112.73293540858353,11.194911679366815,492333,477029,1003232,6899534,4129052,4,1,0,0
113.0,113.818905129742,11.2697807174456,492267,475269,1058995,6938754,4156766,4,1,0,0
114.0,114.85922708539283,11.325622155401062,503156,485360,981046,6987422,4190038,3,1,0,0
115.0,115.9354859146349,11.454625132317453,494581,484852,910249,7034514,4226670,4,1,0,0
116.0,116.77396231464068,11.555880423571564,503188,491163,1068966,7076758,4256304,5,1,0,0
117.0,117.6493863460945,11.639579085458244,519461,492609,1035134,7129024,4279726,5,1,0,0
118.0,118.48004181067485,11.7557840459214,513093,503008,1039403,7176774,4308082,3,1,0,0
119.0,119.52169549276168,11.868848698516432,516317,496303,1132210,7221395,4341777,4,1,0,0
120.0,120.71633192310132,12.012835907439191,514470,494882,1051002,7268622,4373437,3,1,0,0
121.0,121.7851257381645,12.158961959114029,517588,500896,1019644,7323979,4404183,4,1,0,0
122.0,122.86943035217327,12.27703033668057,519767,501099,1012503,7376993,4437209,5,1,0,0
123.0,124.06326436879058,12.408811929404987,532755,506795,1047955,7426343,4468663,5,1,0,0
124.0,125.1344689904593,12.538054439438504,531223,504175,981361,7479439,4502316,3,1,0,0
125.0,125.95054161951069,12.637184792708494,517045,501784,1095050,7523634,4535074,3,1,0,0
126.0,127.09734385985332,12.757630621511836,524007,507316,1118800,7573796,4569639,5,1,0,0
127.0,128.04321517600485,12.815456522280193,508729,494056,973585,7624533,4600716,5,1,0,0
128.0,128.84496062461074,12.941258630595224,516273,496801,992028,7672184,4633431,3,1,0,0
129.0,129.84785429563507,13.08744193131446,518813,495367,1115309,7724361,4662510,3,1,0,0
130.0,131.0226602959856,13.145939406627035,512559,498050,927521,7770459,4690706,4,1,0,0
131.0,131.92559257086359,13.27955098508622,509502,493116,1023174,7823008,4725826,4,1,0,0
132.0,132.92219784008472,13.422848987751147,531965,503175,1056200,7875767,4756475,4,1,0,0
133.0,133.7917085951977,13.495467876731354,509835,498888,1058445,7911181,4788889,5,1,0,0
134.0,134.61478566386427,13.597948995492274,511578,492645,954276,7967133,4819260,5,1,0,0
135.0,135.4470036425495,13.740734818038574,518907,494922,1072753,8001895,4847501,5,1,0,0
136.0,136.53780800493405,13.88675741849087,514617,501567,1003860,8048814,4877534,3,1,0,0
137.0,137.68343779323092,13.949545656926102,515229,504190,1054925,8103941,4911842,28,1,0,1
138.0,138.54075732893193,14.034446079481647,1565593,1526621,949792,8152355,4943507,5,1,0,1
139.0,139.45608475605613,14.154260543596733,1881254,1780222,1079220,8195024,4968373,4,1,0,1
140.0,140.33409654311407,14.226416393535326,512299,502072,1029158,8239555,4997727,4,1,0,0
141.0,141.14483885388464,14.308893456398774,508682,495052,959238,8294690,5033074,5,1,0,0
142.0,142.16621140183943,14.361222562399243,499738,489339,927440,8335082,5062433,5,1,0,0
143.0,143.2461802698945,14.426574730492364,513583,501338,963169,8390727,5087031,4,1,0,0
144.0,144.30533126224853,14.532807679934137,518156,495935,1004008,8440451,5122711,3,1,0,0
145.0,145.26055268116943,14.648116686564556,512694,497923,942703,8484490,5154758,4,1,0,0
146.0,146.2825567795454,14.76300786967414,518192,496939,1129104,9384752,5696454,5,1,0,1
147.0,147.1201965021999,14.890843916751962,521069,499296,1022336,9981361,6056356,3,1,0,1
148.0,147.98191798968895,14.982372058125842,532606,505329,1131036,10035692,6089603,18,1,0,1
149.0,149.15463583751014,15.059721129749958,510895,500785,1118742,10089354,6117978,3,1,0,0
150.0,150.2592389366381,15.111279199754211,526231,499206,964210,10130758,6151422,5,1,0,0
151.0,151.42833457496818,15.18194218235945,516972,494821,1065308,10178740,6183049,4,1,0,0
152.0,152.5950066887679,15.263180963579654,504659,491626,1084293,10224424,6213783,3,1,0,0
153.0,153.654763735611,15.3310016492277,522903,497568,1073883,10280892,6244219,3,1,0,0
154.0,154.82605919485587,15.38301609637736,526826,499731,1038696,10324141,6273695,3,1,0,0
155.0,155.79274083608885,15.44876085724388,524191,508839,1033931,10382163,6306831,5,1,0,0
156.0,156.59418733400284,15.565370812600637,529064,500651,959912,10431996,6334235,4,1,0,0
157.0,157.4192157803413,15.678329354247897,524190,504913,1055635,10476186,6359370,5,1,0,0
158.0,158.26301071062161,15.821897718187701,519461,497503,1141474,10522800,6391213,3,1,0,0
159.0,159.10115209189476,15.951714547327432,523416,494075,1142870,10568792,6423107,5,1,0,0
160.0,160.04183304823488,16.05849015901155,512238,495174,930307,10612419,6454547,5,1,0,0
161.0,161.12234137107862,16.12224579376087,522446,496373,1087900,10662893,6485771,3,1,0,0
162.0,162.23860089371883,16.228652975653386,527358,510642,1012901,10706753,6514809,4,1,0,0
163.0,163.27468620345667,16.284812481744805,521663,495893,1127417,10745852,6547171,5,1,0,0
164.0,164.13326067327947,16.37790097148589,526391,504192,957004,10793953,6577035,3,1,0,0
165.0,165.23242131413875,16.466926834380608,509683,495485,1108229,10834939,6605573,3,1,0,0
166.0,166.17434208179378,16.559708215316903,523108,504657,1116831,10881178,6634638,5,1,0,0
167.0,166.9795394212625,16.637690807156382,518340,501924,957375,10926633,6670700,4,1,0,0
168.0,167.8917748694756,16.756273851918763,510760,499216,931591,10972277,6695495,3,1,0,0
169.0,168.824015091132,16.890368298648642,510388,499796,1089109,11032281,6726994,5,1,0,0
170.0,169.73371330521923,17.01721999790854,513544,496726,956376,11082563,6751957,5,1,0,0
171.0,170.85846136649425,17.129995207487628,512657,502230,1032471,11133790,6781632,3,1,0,0
172.0,171.9624319255319,17.23382968742093,510974,497725,1106922,11174908,6810331,3,1,0,0
173.0,173.04065273769694,17.286938105421733,518075,493871,1050127,11221638,6834076,3,1,0,0
174.0,173.89625476910186,17.409231505290926,517463,493610,1013655,11272715,6865243,5,1,0,0
175.0,175.01938833298436,17.513729799248775,525677,500862,1039793,11317592,6894103,3,1,0,0
176.0,176.0902587176497,17.590803904315162,524496,507895,957335,11372133,6917806,5,1,0,0
177.0,176.96819379224226,17.673588108200505,528644,500799,1156411,11416119,6950324,4,1,0,0
178.0,178.02743136435487,17.81714878684748,521257,499406,1003035,11464687,6984629,4,1,0,0
179.0,179.02083602075635,17.9295850113592,513985,501429,964105,11511757,7019100,5,1,0,0
180.0,179.99657604549884,18.027176254824955,519572,506530,994679,11562579,7050176,5,1,0,0
181.0,180.8414253108878,18.139268428795795,525011,501096,1147542,11609376,7080315,3,1,0,0
182.0,181.84874702122585,18.23064266129436,511348,497945,939713,11658022,7114299,3,1,0,0
183.0,182.6887197448148,18.327660888614663,525900,505531,1129066,11706841,7149346,3,1,0,0
184.0,183.5544210997165,18.40669181428543,532107,502143,1108452,11753169,7182747,5,1,0,0
185.0,184.4074396254264,18.500677144344596,517913,507678,1104196,11805595,7209922,4,1,0,0
186.0,185.5890829370544,18.61923636758839,511266,500916,1119857,11856787,7240526,3,1,0,0
187.0,186.50302881323196,18.673230560097036,523373,493877,1118377,11906344,7271845,3,1,0,0
188.0,187.44511054267036,18.802733300826652,514555,493159,1120368,11954191,7296416,4,1,0,0
189.0,188.37394278518877,18.881031254912784,520999,508254,964253,12008174,7327824,5,1,0,0
190.0,189.53324296326002,18.999287234256034,537046,508618,1137632,12056995,7364643,4,1,0,0
191.0,190.558429327794,19.11355976572404,526660,499102,1062943,12105461,7396563,5,1,0,0
192.0,191.72609328736732,19.228822570638172,518728,498084,1046482,12155985,7430983,5,1,0,0
193.0,192.64606324969847,19.339635462263754,530070,507307,1144724,12214468,7461532,5,1,0,0
194.0,193.49199711947125,19.485545646070708,509757,494464,1115716,12257766,7491312,4,1,0,0
195.0,194.5144845005609,19.586380062340247,506438,495526,1054371,12311615,7522456,5,1,0,0
196.0,195.45269929727692,19.709611973891782,525248,503216,1046913,12352149,7550009,5,1,0,0
197.0,196.57346203067323,19.83015690701524,513859,498026,1018757,12403236,7577117,4,1,0,0
198.0,197.72523139423788,19.903783664743074,523245,499974,1022702,12461111,7610916,4,1,0,0
199.0,198.71426079860072,19.982114248661755,525864,499182,1022615,12513554,7645033,5,1,0,0
200.0,199.9028044082349,20.074515958477452,512086,501687,1001949,12564408,7672060,4,1,0,0
201.0,200.92400961077269,20.152285751523774,529260,507037,971669,12611605,7704964,3,1,0,0
202.0,201.8323777681272,20.23896006141677,515091,500452,943119,12661761,7734703,5,1,0,0
203.0,202.8279679742649,20.3280561228096,530874,503219,1121179,12710500,7765722,3,1,0,0
204.0,203.6428920912261,20.438442578903434,504513,489749,998144,12756570,7797103,5,1,0,0
205.0,204.76449255533132,20.51043158317694,521960,499756,1133842,12805121,7830086,4,1,0,0
206.0,205.60506657567308,20.640860769764608,516676,495783,1056546,12856113,7860334,4,1,0,0
207.0,206.52856597107427,20.734614405441757,511610,493905,928098,12902277,7894565,3,1,0,0
208.0,207.55469258987625,20.855238816610083,518954,495609,966817,12948245,7925493,4,1,0,0
209.0,208.37188264013503,20.913383064734166,522762,498329,984011,12991444,7957366,5,1,0,0
210.0,209.20360939980762,21.010379604146603,526113,504579,1152343,13043398,7984866,21,1,0,1
211.0,210.28205594285282,21.063201557364337,2050051,1951805,978098,13096124,8021342,5,1,0,1
212.0,211.11076678007714,21.180792556545892,1520199,1435049,1063000,13147283,8052751,5,1,0,1
213.0,212.10159992657609,21.2651635642456,515875,497579,1121756,14019118,8575095,5,1,0,1
214.0,213.0370781799444,21.410088845656183,518586,498361,1136159,14069557,8600271,4,1,0,0
215.0,213.92830994312695,21.492501267116324,515365,505013,976383,14121517,8627803,3,1,0,0
216.0,214.80382150227243,21.598881856918098,528750,502690,962139,14173036,8661516,5,1,0,0
217.0,215.90918601976546,21.67462061448756,527364,506686,981657,14222578,8692377,4,1,0,0
218.0,217.08980289702558,21.78663187738229,517358,499227,944350,14269924,8716636,4,1,0,0
219.0,217.9458747939069,21.883336112395614,508319,496520,954648,14330995,8749750,5,1,0,0
220.0,219.12974728157656,21.97039893854618,526611,498880,1067667,14378735,8778119,5,1,0,0
221.0,220.1676522829666,22.040767873454197,519156,501212,1123962,14425406,8812353,3,1,0,0
222.0,221.2243164451119,22.10192000785134,524576,500882,1056962,14477576,8842090,5,1,0,0
223.0,222.30828699636893,22.16390792124701,507424,494578,1040421,15351375,9366228,4,1,0,1
224.0,223.38993455251077,22.313811922997566,529709,500452,996250,15394351,9399765,17,1,0,1
225.0,224.51785899578505,22.40504299568329,514740,501141,1091370,17323623,10551266,4,1,0,1
226.0,225.51124645632413,22.45523596647062,526930,512587,1078687,18370347,11176605,5,1,0,1
227.0,226.52458989133,22.600528845533223,1500988,1423602,1152375,18414792,11206015,5,1,0,1
228.0,227.45412069231537,22.652526837956206,1700162,1609233,1141520,18470736,11238497,5,1,0,1
229.0,228.29622372982863,22.744385450511658,512765,498563,994333,18523864,11264504,20,1,0,1
230.0,229.36207980619912,22.866133209108725,511794,492682,939774,18567542,11289500,4,1,0,0
231.0,230.17552379387362,23.0075931335459,521570,497046,985962,18626428,11321971,3,1,0,0
232.0,231.08577781430697,23.128881762689108,529232,501578,1045306,18679722,11350162,4,1,0,0
233.0,231.9234697600854,23.22524433817911,523822,506029,1141030,18729671,11378985,4,1,0,0
234.0,232.7997606230145,23.37268854207752,516546,496354,1007949,18787622,11403415,5,1,0,0
235.0,233.85525298817345,23.426620480380848,521401,496729,1099274,18838418,11431378,4,1,0,0
236.0,234.90664364025542,23.575309700634648,513357,489263,1035026,18888278,11461355,4,1,0,0
237.0,235.8750656054537,23.710248855805492,524804,499186,983022,18934976,11494146,3,1,0,0
238.0,236.7111343960495,23.85314185751813,515859,494687,994728,18987886,11521833,5,1,0,0
239.0,237.68448396263324,23.928619099927882,509381,497352,1049975,19040269,11556805,4,1,0,0
240.0,238.62558191137654,23.99286490715631,523448,495615,1083089,19090342,11584751,29,1,0,1
241.0,239.71376557251892,24.10919643509358,2093126,1984714,1039880,19136392,11612702,3,1,0,1
242.0,240.74537621579856,24.21078237889219,516716,491211,977348,19187042,11647314,20,1,0,1
243.0,241.74200252273334,24.313099174966627,504486,492664,1053751,19236693,11677948,3,1,0,0
244.0,242.73679535565535,24.45556109281495,525034,510646,980527,19280025,11706292,4,1,0,0
245.0,243.92331411055952,24.567569183480277,518114,493562,1126727,19322666,11735827,4,1,0,0
246.0,245.0258317992409,24.648675566990736,504864,494516,946701,19375492,11769886,3,1,0,0
247.0,246.02462362342496,24.738682222632523,539312,509184,993912,19412483,11804285,3,1,0,0
248.0,247.01631266858055,24.80203180614171,532577,514525,1064654,19463510,11831834,5,1,0,0
249.0,247.82690430910253,24.87126321016928,518242,494142,1040538,19511119,11861707,4,1,0,0
250.0,249.00390801443046,24.935598217190233,525807,498158,1053339,19567660,11891977,3,1,0,0
251.0,249.93157760313738,25.066627351311368,519661,501707,1026158,19615193,11919019,3,1,0,0
252.0,250.83395323588968,25.18711469810858,525309,508643,1154591,19668491,11948852,4,1,0,0
253.0,252.03371680604474,25.290149199869663,517021,495065,1031206,19716506,11978868,5,1,0,0
254.0,253.12119267464655,25.37758598323242,520340,498773,1036090,19767075,12012288,5,1,0,0
255.0,253.94013818396627,25.494435412264856,522210,503886,1028079,19820759,12045911,3,1,0,0
256.0,254.7648923747765,25.625725947034432,524305,502173,957764,19868446,12074923,5,1,0,0
257.0,255.5750930003606,25.763849268601604,526718,498119,1073022,19923429,12104281,5,1,0,0
258.0,256.61494056016573,25.868550891422238,518657,499330,980878,19968460,12136274,3,1,0,0
259.0,257.4435663601905,26.000539403604208,506868,493125,1041637,20019933,12164518,3,1,0,0
260.0,258.6169217029285,26.10166999894548,516311,498809,939858,20074547,12196284,5,1,0,0
261.0,259.79168431893754,26.19912300786427,516502,498668,1132460,20127847,12226021,4,1,0,0
262.0,260.8101059456368,26.33566619342648,513812,501160,1021254,20187429,12253112,5,1,0,0
263.0,261.8567615181952,26.424303587052947,510407,497223,1101817,20233612,12280242,3,1,0,0
264.0,262.7735192788053,26.513894854957016,526160,502357,1047177,20276716,12314583,3,1,0,0
265.0,263.5991082957686,26.594385989485506,522023,505063,952239,20321744,12344114,3,1,0,0
266.0,264.69409247384533,26.696256162314967,529920,500777,1128139,20375047,12379035,3,1,0,0
267.0,265.53480686934495,26.800741165683913,516683,501758,1063991,20427536,12407494,4,1,0,0
268.0,266.36902992575233,26.916787280214958,512250,500265,1082233,20478047,12438368,3,1,0,0
269.0,267.29351916943403,27.009837511225914,525070,500000,1035054,20522433,12475546,5,1,0,0
270.0,268.0985054333692,27.081621240414275,523813,496392,1076528,20576267,12502373,4,1,0,0
271.0,269.07211967967174,27.218305446655663,517193,501582,1108083,20620143,12526680,5,1,0,0
272.0,270.1551920437038,27.302905533379462,513541,499513,1054006,20675938,12560540,4,1,0,0
273.0,271.27573161627254,27.44519987536348,524468,510465,1016980,20740225,12588059,3,1,0,0
274.0,272.3174545377921,27.515935208666125,528628,507866,1091624,20792058,12617997,4,1,0,0
275.0,273.45620421903766,27.621940956289748,521372,501929,1078584,20844973,12646239,3,1,0,0
276.0,274.4188051005445,27.725602465642694,511257,496184,1116706,20892509,12677044,5,1,0,0
277.0,275.5583139345687,27.858467250435393,505220,494437,984353,20933458,12704192,5,1,0,0
278.0,276.560903258768,27.922352389110475,525819,505955,1035881,20980444,12733653,3,1,0,0
279.0,277.45011770996734,28.06334610640222,530577,501313,1127396,21024980,12765002,4,1,0,0
280.0,278.6277759686315,28.16648892361943,525561,502400,1052334,21067745,12791977,4,1,0,0
281.0,279.53776431816635,28.275099862010865,510839,491277,1070020,21126357,12819877,3,1,0,0
282.0,280.34824491184145,28.376116491340643,516964,504637,1025597,21177721,12848835,3,1,0,0
283.0,281.24531452902346,28.42971898202427,517389,502272,975898,21229619,12874548,5,1,0,0
284.0,282.1919895535264,28.529428048204927,510166,494447,1070371,22755622,13789809,3,1,0,1
285.0,283.1325294268421,28.605783014472628,522819,497642,968502,23852768,14448971,4,1,0,1
286.0,284.1423964306195,28.690051832510413,528925,501318,994080,23907591,14477772,26,1,0,1
287.0,285.29564718343386,28.804961992429128,528309,500262,1083420,23957429,14506958,26,1,0,1
288.0,286.2125824742777,28.904731705376538,1961690,1851731,1108525,24010082,14536898,3,1,0,1
289.0,287.2208907174614,28.964053526643283,1288671,1216536,1141730,24059102,14564931,4,1,0,1
290.0,288.15694629893676,29.02135765411946,527726,498740,1007448,24107392,14597004,20,1,0,1
291.0,289.28565552268606,29.089923423681196,512216,500762,944675,24150357,14631312,26,1,0,1
292.0,290.14869612800146,29.159011938338416,2053374,2002290,1135514,24190468,14659919,4,1,0,1
293.0,290.9901002353255,29.269842014035554,502843,487166,936177,24239160,14691375,3,1,0,0
294.0,291.9912983366205,29.337623460440106,519823,498815,976783,24289443,14720656,4,1,0,0
295.0,293.0600533709267,29.475795402767584,512843,500882,982880,24333012,14751752,5,1,0,0
296.0,294.178263451363,29.546771468828926,528475,501479,1063164,24382840,14786450,4,1,0,0
297.0,295.2141133925251,29.605884613371565,520392,498140,1120472,24433109,14817976,3,1,0,0
298.0,296.3236532970527,29.74345921500753,511697,491216,1076723,24472329,14842655,5,1,0,0
299.0,297.2807373204771,29.822991972615203,514989,501639,1072859,24517753,14874017,5,1,0,0
300.0,298.09388438858366,29.915534235598574,523962,508636,979846,24569789,14907716,5,1,0,0
301.0,298.9403241117443,30.061436873999817,505334,492330,981901,24621725,14937051,5,1,0,0
302.0,299.7558131522359,30.205873795915593,531591,504319,1058590,24665956,14970038,5,1,0,0
303.0,300.6873906124265,30.327365484842087,519970,498357,966610,24716748,14997968,5,1,0,0
304.0,301.68558714893396,30.384259380015344,524380,499693,1001237,24771861,15023511,4,1,0,0
